pk_article,article_topic
621,4
237,0
1578,0
1342,4
1315,4
1448,"2,3"
1286,3
978,3
237,0
254,"1,2,3"
237,0
1993,"2,3"
237,0
237,0
1185,"0,1"
559,0
441,1
1160,0
559,0
1160,0
441,1
2091,"0,3"
2095,"0,3"
441,1
762,0
441,1
762,0
1160,0
762,0
559,0
441,1
441,1
500,"0,1,4"
1448,"2,3"
2018,1
762,0
1286,3
1286,3
2018,1
762,0
84,"2,3"
1160,0
254,"1,2,3"
1284,0
1761,2
1761,1
2018,0
1182,2
1761,0
1284,"1,2"
1487,"1,3"
1037,0
1284,"0,1,2"
825,0
1100,"1,3"
1818,0
1284,0
1284,2
1761,0
1284,0
1284,0
1284,0
1284,0
1161,0
762,2
1761,2
1761,"2,3"
84,0
1284,0
1284,0
1284,0
391,2
1761,0
1284,0
1284,0
1284,0
1284,0
1284,2
1761,"2,3"
901,0
1284,0
1182,0
1284,"0,4"
1821,"0,4"
1634,0
1284,0
1891,0
1284,2
1761,2
1761,"0,1,4"
500,0
1284,2
1761,"0,3"
1860,2
1318,0
1182,2
1761,"2,3"
22,2
1761,2
1761,1
441,0
1161,0
1578,"1,3"
695,0
1182,0
1284,2
1761,0
1182,2
1761,0
1284,0
1191,2
1761,2
1761,0
1161,0
178,0
1284,"2,3"
1909,0
1577,0
1161,2
1761,"0,1"
1769,2
232,"0,2"
473,"0,1,4"
500,0
1578,3
314,"1,2,3"
254,2
232,2
232,2
232,3
314,3
314,1
441,0
1591,3
46,0
1687,3
1946,3
314,0
1608,3
500,3
2035,0
314,"0,1,4"
1832,"0,3"
500,3
1741,0
314,0
1687,0
1363,"0,1,4"
762,"0,1,4"
500,"2,3"
500,0
1448,2
237,0
232,0
237,"0,1,4"
723,"0,1,4"
500,"0,1,4"
500,1
500,4
914,0
643,3
314,3
1331,0
1182,"0,1,4"
314,"0,1,4"
1687,0
500,2
500,"0,3"
762,"2,3"
232,"2,3,4"
1355,0
84,0
677,"0,1,4"
1591,"0,4"
1591,3
500,"0,4"
1573,0
1213,3
1573,3
854,0
1213,3
1213,3
2011,3
1213,3
1213,3
1213,3
1213,3
314,3
1213,3
1213,"0,4"
1213,3
1213,3
1573,"0,1,4"
1213,3
1213,3
500,3
1213,0
1213,3
1213,3
854,3
1213,3
1213,3
1213,"0,4"
1213,"0,4"
1213,3
1573,3
1573,0
1213,3
314,3
1182,3
1213,3
1213,3
1213,0
1213,"0,4"
1213,3
854,0
1573,3
1213,3
854,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
314,"0,4"
1213,3
1213,3
1573,"0,4"
1213,3
1213,3
1573,3
314,0
1213,3
1213,3
854,3
1213,3
1213,3
1213,3
1213,"2,4"
1213,3
1213,"0,1,4"
885,3
1213,"2,4"
500,3
1213,3
885,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,0
1213,3
1213,3
854,3
1213,3
1213,3
1213,"0,4"
1213,3
1213,3
1573,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,"0,4"
1213,3
1213,3
1573,3
1213,3
46,3
1213,3
1213,3
1213,"0,4"
1213,3
1213,3
395,3
1213,3
1213,3
1213,3
1213,"0,2"
1213,3
1213,3
1043,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,0
1213,0
1213,3
762,3
854,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,"2,4"
1213,3
1213,3
885,3
1213,"2,4"
1213,0
1213,"0,4"
885,3
854,3
1573,3
1213,3
1213,3
1213,3
1213,3
1213,"2,4"
1213,3
1213,3
885,0
1213,0
1213,3
854,3
1578,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,3
1213,0
1213,0
854,3
1608,3
1213,3
854,3
1213,2
1213,3
1213,"0,4"
1213,3
1761,0
1213,0
1573,3
1213,3
854,3
854,3
1213,3
1213,"2,4"
1213,3
1213,"0,4"
1213,0
885,"0,4"
