article_id,topic_id,category_label,percentage
1,2,education_social,95.95
2,2,education_social,96.21
3,0,local_politics,30.91
3,2,education_social,66.44
4,0,local_politics,63.07
4,3,crime_news,36.47
5,0,local_politics,97.54
6,0,local_politics,30.12
6,4,sport_cultural_events,53.54
7,2,education_social,20.6
7,4,sport_cultural_events,77.41
8,3,crime_news,90.21
9,4,sport_cultural_events,92.56
10,0,local_politics,70.54
10,2,education_social,24.29
11,0,local_politics,38.21
11,2,education_social,59.14
12,2,education_social,40.12
12,3,crime_news,23.84
12,4,sport_cultural_events,28.7
13,0,local_politics,97.25
14,2,education_social,23.23
14,3,crime_news,38.26
14,4,sport_cultural_events,21.55
15,1,justice,21.33
15,2,education_social,21.64
15,3,crime_news,43.52
16,0,local_politics,96.07
17,3,crime_news,97.69
18,0,local_politics,73.16
18,3,crime_news,26.28
19,1,justice,57.73
19,3,crime_news,31.7
20,0,local_politics,94.71
21,3,crime_news,92.52
22,2,education_social,74.65
22,3,crime_news,25.04
23,3,crime_news,97.6
24,2,education_social,61.92
24,3,crime_news,35.52
25,0,local_politics,84.05
26,4,sport_cultural_events,95.52
27,0,local_politics,31.34
27,2,education_social,60.49
28,3,crime_news,22.57
28,4,sport_cultural_events,59.27
29,2,education_social,44.97
29,3,crime_news,51.95
30,2,education_social,52.15
30,3,crime_news,44.63
31,0,local_politics,45.51
31,2,education_social,22.62
31,4,sport_cultural_events,29.78
32,4,sport_cultural_events,73.02
33,0,local_politics,67.64
33,3,crime_news,20.75
34,0,local_politics,94.02
35,4,sport_cultural_events,81.31
36,2,education_social,97.61
37,2,education_social,98.94
38,0,local_politics,71.7
38,4,sport_cultural_events,23.9
39,2,education_social,80.77
40,4,sport_cultural_events,84.91
41,3,crime_news,97.47
42,4,sport_cultural_events,96.72
43,1,justice,78.29
44,2,education_social,71.59
44,4,sport_cultural_events,25.79
45,0,local_politics,89.34
46,3,crime_news,85.18
47,0,local_politics,57.83
47,3,crime_news,40.8
48,0,local_politics,31.34
48,4,sport_cultural_events,66.37
49,0,local_politics,96.38
50,0,local_politics,96.38
51,3,crime_news,90.61
52,0,local_politics,55.31
52,4,sport_cultural_events,30.42
53,4,sport_cultural_events,85.84
54,2,education_social,27.69
54,4,sport_cultural_events,60.79
56,0,local_politics,72.36
56,1,justice,22.73
57,0,local_politics,26.02
57,4,sport_cultural_events,67.79
58,4,sport_cultural_events,65.77
61,4,sport_cultural_events,82.21
62,0,local_politics,29.25
62,4,sport_cultural_events,69.21
63,1,justice,30.72
63,3,crime_news,67.64
64,1,justice,86.44
65,3,crime_news,22.76
65,4,sport_cultural_events,63.47
69,1,justice,84.1
70,2,education_social,31.84
70,4,sport_cultural_events,57.88
73,2,education_social,48.04
73,3,crime_news,41.12
74,0,local_politics,26.25
74,2,education_social,41.44
74,3,crime_news,25.05
75,0,local_politics,47.28
75,3,crime_news,29.83
77,2,education_social,96.21
78,0,local_politics,74.69
78,3,crime_news,25.05
79,3,crime_news,99.08
82,2,education_social,89.84
83,0,local_politics,23.23
