pk_article,article_topic
621,4.0
237,0.0
1578,0.0
1342,4.0
1315,4.0
1448,3.0
1286,3.0
978,3.0
237,0.0
254,2.0
237,0.0
1993,3.0
237,0.0
237,0.0
1185,0.0
559,0.0
441,1.0
1160,0.0
559,0.0
1160,0.0
441,1.0
2091,0.0
2095,0.0
441,1.0
762,0.0
441,1.0
762,0.0
1160,0.0
762,0.0
559,0.0
441,1.0
441,1.0
500,4.0
1448,3.0
2018,1.0
762,0.0
1286,3.0
1286,3.0
2018,1.0
762,0.0
84,2.0
1160,0.0
254,2.0
1284,0.0
1761,2.0
141,0.0
1761,2.0
2018,1.0
1182,0.0
1761,2.0
1284,0.0
1487,1.0
1037,1.0
1284,0.0
825,1.0
1100,0.0
1818,3.0
1284,0.0
1284,0.0
1761,2.0
1284,0.0
1284,0.0
1284,0.0
1284,0.0
1161,0.0
762,0.0
1761,2.0
1761,2.0
84,2.0
1284,0.0
1284,0.0
1284,0.0
391,0.0
1761,2.0
1284,0.0
1284,0.0
1284,0.0
1284,0.0
1284,0.0
1761,2.0
901,2.0
1284,0.0
1182,0.0
1284,0.0
1821,4.0
1634,0.0
1284,0.0
1891,0.0
1284,0.0
1761,2.0
1761,2.0
500,4.0
1284,0.0
1761,2.0
1860,0.0
1318,2.0
1182,0.0
1761,2.0
22,2.0
1761,2.0
1761,2.0
441,1.0
1161,0.0
1578,0.0
695,1.0
1182,0.0
1284,0.0
1761,2.0
1182,0.0
1761,2.0
1284,0.0
1191,0.0
1761,2.0
1761,2.0
1161,0.0
178,0.0
1284,0.0
1909,3.0
1577,0.0
1161,0.0
1761,2.0
1769,0.0
232,2.0
473,0.0
500,4.0
1578,0.0
314,3.0
254,2.0
232,2.0
232,2.0
232,2.0
314,3.0
314,3.0
441,1.0
1591,0.0
46,3.0
1687,0.0
1946,3.0
314,3.0
1687,0.0
1608,0.0
500,4.0
2035,3.0
314,3.0
1832,0.0
500,4.0
1741,3.0
314,3.0
1687,0.0
1363,0.0
762,0.0
500,4.0
500,4.0
1448,3.0
237,0.0
232,2.0
237,0.0
723,0.0
500,4.0
500,4.0
500,4.0
914,1.0
643,4.0
1687,0.0
314,3.0
1331,0.0
1182,0.0
314,3.0
1687,0.0
500,4.0
500,4.0
762,0.0
232,2.0
1355,0.0
84,2.0
677,3.0
1591,0.0
1591,0.0
500,4.0
1573,0.0
1213,3.0
1573,0.0
854,0.0
1213,3.0
1213,3.0
2011,0.0
1213,3.0
1213,3.0
1213,3.0
1213,3.0
314,3.0
1213,3.0
1213,3.0
1213,3.0
1213,3.0
1573,0.0
