Agent,Session,% of correct suggested site,Legend_info
Max d-sw TS,1,0.009280388727870108,\u03B3=0.9999 - n=1000
Max d-sw TS,1,0.009421433026378545,\u03B3=0.9999 - n=1000
Max d-sw TS,1,0.009315989504564916,\u03B3=0.9999 - n=1000
Max d-sw TS,1,0.009379581731638085,\u03B3=0.9999 - n=1000
Max d-sw TS,1,0.0093524055662222,\u03B3=0.9999 - n=1000
Max d-sw TS,1,0.009351046757951407,\u03B3=0.9999 - n=1000
Max d-sw TS,1,0.009345339763214071,\u03B3=0.9999 - n=1000
Max d-sw TS,1,0.009367624218855095,\u03B3=0.9999 - n=1000
Max d-sw TS,1,0.00942714002111588,\u03B3=0.9999 - n=1000
Max d-sw TS,1,0.00932685997073127,\u03B3=0.9999 - n=1000
Max d-sw TS,2,0.00932903406396454,
Max d-sw TS,2,0.0093616454624636,
Max d-sw TS,2,0.00931979416772314,
Max d-sw TS,2,0.009410290798558032,
Max d-sw TS,2,0.009363004270734394,
Max d-sw TS,2,0.009358927845922013,
Max d-sw TS,2,0.00930593432336104,
Max d-sw TS,2,0.00934044805343921,
Max d-sw TS,2,0.009351046757951407,
Max d-sw TS,2,0.009378494685021449,
Max d-sw TS,3,0.009333654012085241,
Max d-sw TS,3,0.00932224002261057,
Max d-sw TS,3,0.009395615669233455,
Max d-sw TS,3,0.00934099157674753,
Max d-sw TS,3,0.00933881748351426,
Max d-sw TS,3,0.009334469297047718,
Max d-sw TS,3,0.009321152975993934,
Max d-sw TS,3,0.009297781473736274,
Max d-sw TS,3,0.009358656084267853,
Max d-sw TS,3,0.009383386394796307,
Max d-sw TS,4,0.010631859434002003,
Max d-sw TS,4,0.010591366947532337,
Max d-sw TS,4,0.01060930321670682,
Max d-sw TS,4,0.010635935858814385,
Max d-sw TS,4,0.01063267471896448,
Max d-sw TS,4,0.010586746999411636,
Max d-sw TS,4,0.010617456066331585,
Max d-sw TS,4,0.01057424596332033,
Max d-sw TS,4,0.01056745192196636,
Max d-sw TS,4,0.010604955030240278,
Max d-sw TS,5,0.010380479903905079,
Max d-sw TS,5,0.010838398291162718,
Max d-sw TS,5,0.010040234312898216,
Max d-sw TS,5,0.010815842073867534,
Max d-sw TS,5,0.010789209431759969,
Max d-sw TS,5,0.01083540891296697,
Max d-sw TS,5,0.010917209170868782,
Max d-sw TS,5,0.010766924976118943,
Max d-sw TS,5,0.01082616901672557,
Max d-sw TS,5,0.010864215648307808,
Max d-sw TS,6,0.010804971607701181,
Max d-sw TS,6,0.010843290000937578,
Max d-sw TS,6,0.010818559690409124,
Max d-sw TS,6,0.010274221097128973,
Max d-sw TS,6,0.009771462036935127,
Max d-sw TS,6,0.010826712540033888,
Max d-sw TS,6,0.010098934830196525,
Max d-sw TS,6,0.010350586121947607,
Max d-sw TS,6,0.010865846218232762,
Max d-sw TS,6,0.010034799079815039,
Max d-sw TS,7,0.010653056843026393,
Max d-sw TS,7,0.010604139745277802,
Max d-sw TS,7,0.01062316306106892,
Max d-sw TS,7,0.010610933786631773,
Max d-sw TS,7,0.010616912543023266,
Max d-sw TS,7,0.010575061248282806,
Max d-sw TS,7,0.010618814874602379,
Max d-sw TS,7,0.010591366947532337,
Max d-sw TS,7,0.010624793630993874,
Max d-sw TS,7,0.01058783404602827,
Min d-sw TS,1,0.01030547368735724,
Min d-sw TS,1,0.01044787679413647,
Min d-sw TS,1,0.010268514102391638,
Min d-sw TS,1,0.01035928249488069,
Min d-sw TS,1,0.010396242079846291,
Min d-sw TS,1,0.010369065914430408,
Min d-sw TS,1,0.010506577311434779,
Min d-sw TS,1,0.010452496742257171,
Min d-sw TS,1,0.010400862027966992,
Min d-sw TS,1,0.010362000111422279,
Min d-sw TS,2,0.010643001661822514,
Min d-sw TS,2,0.010703060987391618,
Min d-sw TS,2,0.010629141817460415,
Min d-sw TS,2,0.01070496331897073,
Min d-sw TS,2,0.01064898041821401,
Min d-sw TS,2,0.010189159699377259,
Min d-sw TS,2,0.010659850884380363,
Min d-sw TS,2,0.010650067464830645,
Min d-sw TS,2,0.010710398552053907,
Min d-sw TS,2,0.010640555806935086,
Min d-sw TS,3,0.010251121356525473,
Min d-sw TS,3,0.010843833524245896,
Min d-sw TS,3,0.010839213576125195,
Min d-sw TS,3,0.01074681461371119,
Min d-sw TS,3,0.010708496220474794,
Min d-sw TS,3,0.01078214362875184,
Min d-sw TS,3,0.010793014094918193,
Min d-sw TS,3,0.010252208403142109,
Min d-sw TS,3,0.010628054770843779,
Min d-sw TS,3,0.010797905804693052,
Min d-sw TS,4,0.010755782748298432,
Min d-sw TS,4,0.010638653475355973,
Min d-sw TS,4,0.010698984562579235,
Min d-sw TS,4,0.010765022644539832,
Min d-sw TS,4,0.010726976012957596,
Min d-sw TS,4,0.010663927309192746,
Min d-sw TS,4,0.010669090780621764,
Min d-sw TS,4,0.010668819018967605,
Min d-sw TS,4,0.010752521608448527,
Min d-sw TS,4,0.01064436047009331,
Min d-sw TS,5,0.010710398552053907,
Min d-sw TS,5,0.010642186376860041,
Min d-sw TS,5,0.01058620347610332,
Min d-sw TS,5,0.010584301144524206,
Min d-sw TS,5,0.010677787153554849,
Min d-sw TS,5,0.010722627826491056,
Min d-sw TS,5,0.010712029121978859,
Min d-sw TS,5,0.010635664097160227,
Min d-sw TS,5,0.010708767982128956,
Min d-sw TS,5,0.010700071609195871,
Min d-sw TS,6,0.0100812703226762,
Min d-sw TS,6,0.010592453994148971,
Min d-sw TS,6,0.010703060987391618,
Min d-sw TS,6,0.010838941814471037,
Min d-sw TS,6,0.010711757360324701,
Min d-sw TS,6,0.010778882488901933,
Min d-sw TS,6,0.01082426668514646,
Min d-sw TS,6,0.010861769793420378,
Min d-sw TS,6,0.010763935597923198,
Min d-sw TS,6,0.010853616943795613,
Min d-sw TS,7,0.010561473165574865,
Min d-sw TS,7,0.010769914354314692,
Min d-sw TS,7,0.010830788964846272,
Min d-sw TS,7,0.010806330415971977,
